,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Maturity
21,GOOG240816P00200000,2024-06-21 14:09:50+00:00,200.0,20.73,19.85,21.25,-0.62000084,-2.9039853,1.0,13.0,0.2602613037109375,True,REGULAR,USD,2024-08-16
0,GOOG240920P00045000,2024-06-20 14:57:35+00:00,45.0,0.03,0.0,0.01,0.0,0.0,23.0,1678.0,0.8437515624999999,False,REGULAR,USD,2024-09-20
1,GOOG240920P00050000,2024-05-15 16:55:18+00:00,50.0,0.01,0.0,0.1,0.0,0.0,20.0,2213.0,0.9648441015625,False,REGULAR,USD,2024-09-20
2,GOOG240920P00055000,2024-05-29 14:36:37+00:00,55.0,0.01,0.0,2.09,0.0,0.0,40.0,1411.0,1.3657258276367186,False,REGULAR,USD,2024-09-20
3,GOOG240920P00060000,2024-06-18 18:42:03+00:00,60.0,0.04,0.01,0.08,0.0,0.0,1.0,1293.0,0.8203142968749999,False,REGULAR,USD,2024-09-20
4,GOOG240920P00065000,2024-06-21 14:27:33+00:00,65.0,0.03,0.02,0.07,0.0,0.0,1.0,3853.0,0.7656273437500001,False,REGULAR,USD,2024-09-20
5,GOOG240920P00070000,2024-05-31 17:17:27+00:00,70.0,0.02,0.02,0.07,0.0,0.0,4.0,3521.0,0.710940390625,False,REGULAR,USD,2024-09-20
6,GOOG240920P00075000,2024-06-18 15:16:15+00:00,75.0,0.03,0.0,0.08,0.0,0.0,100.0,2068.0,0.6562534375000001,False,REGULAR,USD,2024-09-20
7,GOOG240920P00080000,2024-06-18 16:05:14+00:00,80.0,0.03,0.0,0.08,0.0,0.0,35.0,1455.0,0.6093789062500001,False,REGULAR,USD,2024-09-20
8,GOOG240920P00085000,2024-06-18 15:17:03+00:00,85.0,0.03,0.0,0.09,0.0,0.0,10.0,747.0,0.5742230078125,False,REGULAR,USD,2024-09-20
9,GOOG240920P00090000,2024-06-21 14:19:51+00:00,90.0,0.06,0.04,0.1,-0.02,-25.0,1.0,1401.0,0.5585981640625001,False,REGULAR,USD,2024-09-20
10,GOOG240920P00095000,2024-06-13 18:13:11+00:00,95.0,0.04,0.01,0.12,0.0,0.0,7.0,1348.0,0.5136767382812499,False,REGULAR,USD,2024-09-20
11,GOOG240920P00100000,2024-06-21 18:04:37+00:00,100.0,0.06,0.05,0.13,-0.030000005,-33.333336,6.0,2419.0,0.5185595019531251,False,REGULAR,USD,2024-09-20
12,GOOG240920P00105000,2024-06-05 16:05:54+00:00,105.0,0.15,0.06,0.15,0.0,0.0,10.0,4353.0,0.48828636718750007,False,REGULAR,USD,2024-09-20
13,GOOG240920P00110000,2024-06-21 19:30:12+00:00,110.0,0.1,0.08,0.17,-0.029999994,-23.07692,100.0,2026.0,0.4585015087890626,False,REGULAR,USD,2024-09-20
14,GOOG240920P00115000,2024-06-21 17:53:05+00:00,115.0,0.11,0.1,0.2,-0.049999997,-31.25,4.0,1573.0,0.43164630859375,False,REGULAR,USD,2024-09-20
15,GOOG240920P00120000,2024-06-21 18:03:04+00:00,120.0,0.16,0.13,0.23,-0.030000001,-15.7894745,190.0,6530.0,0.40381455566406255,False,REGULAR,USD,2024-09-20
16,GOOG240920P00125000,2024-06-21 18:37:58+00:00,125.0,0.21,0.19,0.28,-0.08,-27.586206,5.0,4397.0,0.379889013671875,False,REGULAR,USD,2024-09-20
17,GOOG240920P00130000,2024-06-21 16:01:06+00:00,130.0,0.26,0.24,0.34,-0.07000002,-21.212128,46.0,6068.0,0.35596347167968745,False,REGULAR,USD,2024-09-20
18,GOOG240920P00135000,2024-06-21 15:15:00+00:00,135.0,0.33,0.34,0.44,-0.14999998,-31.249996,32.0,4549.0,0.3364324169921875,False,REGULAR,USD,2024-09-20
19,GOOG240920P00140000,2024-06-21 17:53:08+00:00,140.0,0.48,0.45,0.55,-0.14000002,-22.580647,15.0,6432.0,0.31445998046874996,False,REGULAR,USD,2024-09-20
