,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Maturity
16,GOOG240705C00200000,2024-06-21 19:58:47+00:00,200.0,0.09,0.05,0.09,0.050000004,125.000015,147.0,301,0.278327529296875,False,REGULAR,USD,2024-07-05
17,GOOG240705C00205000,2024-06-07 17:52:47+00:00,205.0,0.09,0.03,0.07,0.0,0.0,3.0,3,0.32031929687499994,False,REGULAR,USD,2024-07-05
18,GOOG240705C00210000,2024-06-17 19:14:54+00:00,210.0,0.05,0.0,1.06,0.0,0.0,1.0,8,0.5288133056640626,False,REGULAR,USD,2024-07-05
19,GOOG240705C00215000,2024-06-10 18:04:07+00:00,215.0,0.02,0.0,2.15,0.0,0.0,,1,0.6960479614257813,False,REGULAR,USD,2024-07-05
20,GOOG240705C00220000,2024-06-06 16:40:21+00:00,220.0,0.01,0.0,1.07,0.0,0.0,7.0,7,0.6499058447265625,False,REGULAR,USD,2024-07-05
21,GOOG240705C00235000,2024-06-20 15:02:00+00:00,235.0,0.01,0.0,0.05,0.0,0.0,1.0,2,0.5273484765625001,False,REGULAR,USD,2024-07-05
0,GOOG240712C00100000,2024-06-14 16:23:17+00:00,100.0,78.81,79.85,83.0,0.0,0.0,1.0,2,1.5820333398437496,True,REGULAR,USD,2024-07-12
1,GOOG240712C00120000,2024-06-21 18:42:09+00:00,120.0,61.95,59.9,63.0,3.8500023,6.6265097,1.0,1,1.1650432373046877,True,REGULAR,USD,2024-07-12
2,GOOG240712C00130000,2024-06-20 15:05:00+00:00,130.0,48.07,49.95,53.0,0.0,0.0,10.0,12,0.9802248071289064,True,REGULAR,USD,2024-07-12
3,GOOG240712C00140000,2024-06-21 16:36:16+00:00,140.0,43.0,40.0,43.0,5.209999,13.786714,6.0,5,0.8042011767578124,True,REGULAR,USD,2024-07-12
4,GOOG240712C00150000,2024-06-20 18:21:52+00:00,150.0,28.03,30.05,33.25,0.0,0.0,308.0,308,0.6513706738281251,True,REGULAR,USD,2024-07-12
5,GOOG240712C00155000,2024-06-20 13:54:11+00:00,155.0,22.31,25.1,28.25,0.0,0.0,1.0,3,0.567387138671875,True,REGULAR,USD,2024-07-12
6,GOOG240712C00160000,2024-06-21 14:32:49+00:00,160.0,21.24,20.15,23.45,3.039999,16.70329,2.0,144,0.6497837756347657,True,REGULAR,USD,2024-07-12
7,GOOG240712C00165000,2024-06-21 14:05:25+00:00,165.0,15.38,15.3,17.35,1.8800001,13.925926,20.0,148,0.4549615051269531,True,REGULAR,USD,2024-07-12
8,GOOG240712C00170000,2024-06-21 17:34:54+00:00,170.0,12.32,10.75,12.15,4.2699995,53.043472,28.0,1780,0.3415593188476562,True,REGULAR,USD,2024-07-12
9,GOOG240712C00175000,2024-06-21 19:06:45+00:00,175.0,8.29,7.0,8.3,2.65,46.985817,183.0,299,0.31690136230468746,True,REGULAR,USD,2024-07-12
10,GOOG240712C00180000,2024-06-21 19:55:02+00:00,180.0,4.5,3.95,4.25,1.54,52.027023,765.0,4390,0.24488059814453128,True,REGULAR,USD,2024-07-12
11,GOOG240712C00185000,2024-06-21 19:59:14+00:00,185.0,2.02,1.84,3.0,0.67999995,50.74626,598.0,753,0.29431858032226554,False,REGULAR,USD,2024-07-12
12,GOOG240712C00190000,2024-06-21 19:49:18+00:00,190.0,1.0,0.74,1.15,0.45999998,85.18517,292.0,529,0.25525647094726567,False,REGULAR,USD,2024-07-12
13,GOOG240712C00195000,2024-06-21 19:46:41+00:00,195.0,0.33,0.2,0.37,0.12000002,57.142864,833.0,805,0.23731231445312498,False,REGULAR,USD,2024-07-12
14,GOOG240712C00200000,2024-06-21 19:49:13+00:00,200.0,0.16,0.13,0.19,0.06999999,77.77777,264.0,213,0.25586681640625003,False,REGULAR,USD,2024-07-12
15,GOOG240712C00205000,2024-06-21 19:07:37+00:00,205.0,0.09,0.08,0.12,0.020000003,28.571432,12.0,22,0.2802806347656249,False,REGULAR,USD,2024-07-12
16,GOOG240712C00210000,2024-06-12 17:50:22+00:00,210.0,0.08,0.03,0.1,0.0,0.0,,1,0.31445998046874996,False,REGULAR,USD,2024-07-12
17,GOOG240712C00215000,2024-06-05 18:20:33+00:00,215.0,0.08,0.0,1.9,0.0,0.0,,1,0.543949873046875,False,REGULAR,USD,2024-07-12
18,GOOG240712C00220000,2024-06-04 14:44:40+00:00,220.0,0.05,0.0,1.1,0.0,0.0,1.0,1,0.5268602001953125,False,REGULAR,USD,2024-07-12
0,GOOG240719C00070000,2024-05-31 19:20:27+00:00,70.0,103.19,109.8,113.0,0.0,0.0,10.0,13,2.0561572033691404,True,REGULAR,USD,2024-07-19
1,GOOG240719C00075000,2024-04-10 14:28:36+00:00,75.0,83.0,93.5,97.9,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,2024-07-19
2,GOOG240719C00080000,2024-04-26 18:55:21+00:00,80.0,93.76,94.65,99.05,0.0,0.0,1.0,4,1.0000000000000003e-05,True,REGULAR,USD,2024-07-19
3,GOOG240719C00085000,2024-06-21 18:20:55+00:00,85.0,96.75,94.9,98.0,2.8700027,3.0570972,20.0,9,1.689454677734375,True,REGULAR,USD,2024-07-19
4,GOOG240719C00090000,2024-06-21 18:21:36+00:00,90.0,92.15,89.9,93.0,7.880005,9.350902,28.0,9,1.5761739941406248,True,REGULAR,USD,2024-07-19
5,GOOG240719C00095000,2024-05-15 18:39:19+00:00,95.0,79.42,81.8,85.95,0.0,0.0,1.0,11,1.319827619628906,True,REGULAR,USD,2024-07-19
